2019-10-13 22:37:30,078: uiname is Dialog
2019-10-13 22:37:30,079: toplevel widget is SecondWindow
2019-10-13 22:37:30,079: setting property geometry
2019-10-13 22:37:30,079: setting property focusPolicy
2019-10-13 22:37:30,079: setting property windowTitle
2019-10-13 22:37:30,079: push SecondWindow Dialog
2019-10-13 22:37:30,079: setting property geometry
2019-10-13 22:37:30,079: setting property font
2019-10-13 22:37:30,080: setting property styleSheet
2019-10-13 22:37:30,080: setting property frameShape
2019-10-13 22:37:30,081: setting property frameShadow
2019-10-13 22:37:30,081: push QPlainTextEdit plainTextEdit
2019-10-13 22:37:30,082: pop widget QPlainTextEdit plainTextEdit
2019-10-13 22:37:30,082: new topwidget <keybinder.SecondWindow object at 0x0000018CA15E5288>
2019-10-13 22:37:30,082: setting property geometry
2019-10-13 22:37:30,082: setting property text
2019-10-13 22:37:30,082: push QPushButton btnDeleteText
2019-10-13 22:37:30,082: pop widget QPushButton btnDeleteText
2019-10-13 22:37:30,082: new topwidget <keybinder.SecondWindow object at 0x0000018CA15E5288>
2019-10-13 22:37:30,083: setting property geometry
2019-10-13 22:37:30,083: setting property text
2019-10-13 22:37:30,083: push QPushButton btnEnter
2019-10-13 22:37:30,083: pop widget QPushButton btnEnter
2019-10-13 22:37:30,083: new topwidget <keybinder.SecondWindow object at 0x0000018CA15E5288>
2019-10-13 22:37:30,083: pop widget SecondWindow Dialog
2019-10-13 22:37:30,083: new topwidget None
2019-10-13 22:37:53,447: uiname is Dialog
2019-10-13 22:37:53,448: toplevel widget is SecondWindow
2019-10-13 22:37:53,448: setting property geometry
2019-10-13 22:37:53,448: setting property focusPolicy
2019-10-13 22:37:53,448: setting property windowTitle
2019-10-13 22:37:53,448: push SecondWindow Dialog
2019-10-13 22:37:53,448: setting property geometry
2019-10-13 22:37:53,448: setting property font
2019-10-13 22:37:53,449: setting property styleSheet
2019-10-13 22:37:53,449: setting property frameShape
2019-10-13 22:37:53,449: setting property frameShadow
2019-10-13 22:37:53,449: push QPlainTextEdit plainTextEdit
2019-10-13 22:37:53,449: pop widget QPlainTextEdit plainTextEdit
2019-10-13 22:37:53,449: new topwidget <keybinder.SecondWindow object at 0x00000280E2335288>
2019-10-13 22:37:53,450: setting property geometry
2019-10-13 22:37:53,450: setting property text
2019-10-13 22:37:53,450: push QPushButton btnDeleteText
2019-10-13 22:37:53,450: pop widget QPushButton btnDeleteText
2019-10-13 22:37:53,450: new topwidget <keybinder.SecondWindow object at 0x00000280E2335288>
2019-10-13 22:37:53,450: setting property geometry
2019-10-13 22:37:53,450: setting property text
2019-10-13 22:37:53,450: push QPushButton btnEnter
2019-10-13 22:37:53,450: pop widget QPushButton btnEnter
2019-10-13 22:37:53,450: new topwidget <keybinder.SecondWindow object at 0x00000280E2335288>
2019-10-13 22:37:53,450: pop widget SecondWindow Dialog
2019-10-13 22:37:53,450: new topwidget None
2019-10-13 22:40:48,612: Mouse moved to (1026, 465)
2019-10-13 22:40:48,613: Mouse moved to (1027, 465)
2019-10-13 22:40:48,614: Mouse moved to (1027, 465)
2019-10-13 22:40:48,615: Mouse moved to (1029, 465)
2019-10-13 22:40:48,616: Mouse moved to (1030, 465)
2019-10-13 22:40:48,617: Mouse moved to (1031, 464)
2019-10-13 22:40:48,618: Mouse moved to (1032, 464)
2019-10-13 22:40:48,619: Mouse moved to (1034, 464)
2019-10-13 22:40:48,620: Mouse moved to (1036, 464)
2019-10-13 22:40:48,621: Mouse moved to (1037, 464)
2019-10-13 22:40:48,622: Mouse moved to (1039, 464)
2019-10-13 22:40:48,623: Mouse moved to (1040, 464)
2019-10-13 22:40:48,624: Mouse moved to (1043, 464)
2019-10-13 22:40:48,625: Mouse moved to (1045, 464)
2019-10-13 22:40:48,626: Mouse moved to (1047, 464)
2019-10-13 22:40:48,627: Mouse moved to (1049, 464)
2019-10-13 22:40:48,628: Mouse moved to (1051, 464)
2019-10-13 22:40:48,629: Mouse moved to (1053, 464)
2019-10-13 22:40:48,630: Mouse moved to (1055, 464)
2019-10-13 22:40:48,631: Mouse moved to (1058, 464)
2019-10-13 22:40:48,632: Mouse moved to (1060, 464)
2019-10-13 22:40:48,633: Mouse moved to (1063, 464)
2019-10-13 22:40:48,634: Mouse moved to (1065, 464)
2019-10-13 22:40:48,635: Mouse moved to (1066, 464)
2019-10-13 22:40:48,636: Mouse moved to (1069, 464)
2019-10-13 22:40:48,637: Mouse moved to (1071, 464)
2019-10-13 22:40:48,638: Mouse moved to (1073, 464)
2019-10-13 22:40:48,639: Mouse moved to (1076, 464)
2019-10-13 22:40:48,640: Mouse moved to (1078, 464)
2019-10-13 22:40:48,641: Mouse moved to (1080, 464)
2019-10-13 22:40:48,642: Mouse moved to (1081, 464)
2019-10-13 22:40:48,643: Mouse moved to (1084, 465)
2019-10-13 22:40:48,644: Mouse moved to (1086, 465)
2019-10-13 22:40:48,645: Mouse moved to (1089, 465)
2019-10-13 22:40:48,646: Mouse moved to (1090, 466)
2019-10-13 22:40:48,647: Mouse moved to (1092, 468)
2019-10-13 22:40:48,648: Mouse moved to (1094, 468)
2019-10-13 22:40:48,649: Mouse moved to (1096, 469)
2019-10-13 22:40:48,650: Mouse moved to (1098, 471)
2019-10-13 22:40:48,651: Mouse moved to (1099, 472)
2019-10-13 22:40:48,652: Mouse moved to (1103, 473)
2019-10-13 22:40:48,653: Mouse moved to (1104, 474)
2019-10-13 22:40:48,654: Mouse moved to (1106, 476)
2019-10-13 22:40:48,655: Mouse moved to (1109, 478)
2019-10-13 22:40:48,656: Mouse moved to (1111, 480)
2019-10-13 22:40:48,657: Mouse moved to (1113, 483)
2019-10-13 22:40:48,658: Mouse moved to (1115, 485)
2019-10-13 22:40:48,659: Mouse moved to (1119, 488)
